City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nikolskoye,RU,59.7035,30.7861,75.09,50,97,6.29,overcast clouds
80,Souillac,MU,-20.5167,57.5167,70.18,73,40,8.05,scattered clouds
81,Ilulissat,GL,69.2167,-51.1,50.02,53,75,6.91,broken clouds
82,Lubango,AO,-14.9172,13.4925,62.15,37,47,4.36,scattered clouds
83,Sinnamary,GF,5.3833,-52.95,83.03,72,91,7.54,overcast clouds
84,Bambanglipuro,ID,-7.95,110.2833,74.19,85,98,9.78,overcast clouds
85,Airai,TL,-8.9266,125.4092,54.64,90,100,4.16,overcast clouds
86,Vaini,TO,-21.2,-175.2,71.76,94,20,5.75,few clouds
87,New Norfolk,AU,-42.7826,147.0587,45.9,88,100,3.02,overcast clouds
88,Tahta,EG,26.7693,31.5021,96.37,16,0,9.75,clear sky
89,Ampanihy,MG,-24.7,44.75,71.67,45,0,13.76,clear sky
90,Hammerfest,NO,70.6634,23.6821,46.85,100,0,5.75,clear sky
91,Hasaki,JP,35.7333,140.8333,73.8,87,100,13.2,overcast clouds
92,Langsa,ID,4.4683,97.9683,73.22,99,100,2.75,overcast clouds
93,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,34,12.8,scattered clouds
94,Olden,NO,61.8364,6.8064,70.54,77,100,7.87,overcast clouds
95,Pacific Grove,US,36.6177,-121.9166,72.39,87,20,8.05,few clouds
96,Barrow,US,71.2906,-156.7887,41.02,100,100,3.44,mist
97,Cabo San Lucas,MX,22.8909,-109.9124,94.6,48,20,14.97,few clouds
98,Akcakoca,TR,41.0866,31.1162,74.17,88,100,9.19,light rain
99,Pierre,US,44.3683,-100.351,86.86,55,20,7.0,few clouds
100,Shingu,JP,33.7333,135.9833,77.59,90,38,4.32,scattered clouds
101,Kaitangata,NZ,-46.2817,169.8464,36.63,80,100,3.56,overcast clouds
102,Ellenabad,IN,29.45,74.65,85.48,67,81,11.7,broken clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,83,75,19.57,light intensity drizzle
104,Bluff,NZ,-46.6,168.3333,39.6,78,52,8.16,broken clouds
105,Coquimbo,CL,-29.9533,-71.3436,56.93,82,40,13.8,scattered clouds
106,Doka,SD,13.5167,35.7667,71.83,95,100,11.27,overcast clouds
107,Necochea,AR,-38.5473,-58.7368,66.58,46,7,6.02,clear sky
108,Laguna,US,38.421,-121.4238,101.08,36,0,9.22,clear sky
109,Geraldton,AU,-28.7667,114.6,50.41,71,100,10.36,overcast clouds
110,Narsaq,GL,60.9167,-46.05,52.02,86,41,5.93,scattered clouds
111,Waingapu,ID,-9.6567,120.2641,75.0,81,100,13.71,overcast clouds
112,Provideniya,RU,64.3833,-173.3,47.39,84,96,7.14,overcast clouds
113,Dikson,RU,73.5069,80.5464,42.19,98,100,11.25,light rain
114,Mikhaylovsk,RU,45.1283,42.0256,73.62,43,0,25.01,clear sky
115,Loikaw,MM,19.6742,97.2094,67.55,95,97,4.23,overcast clouds
116,Oxford,GB,51.7522,-1.256,76.48,68,20,10.36,few clouds
117,Severobaykalsk,RU,55.65,109.3167,42.22,82,93,5.46,overcast clouds
118,Oda,JP,35.1833,132.5,76.42,93,77,3.27,broken clouds
119,Ponta Do Sol,PT,32.6667,-17.1,77.0,75,1,3.47,clear sky
120,Saskylakh,RU,71.9167,114.0833,40.55,72,100,10.13,overcast clouds
121,Brigantine,US,39.4101,-74.3646,88.03,62,40,10.36,scattered clouds
122,Saldanha,ZA,-33.0117,17.9442,57.43,84,100,17.85,overcast clouds
123,Kantunilkin,MX,21.0917,-87.45,93.88,42,36,4.88,scattered clouds
124,Son Tay,VN,21.1378,105.505,84.13,89,100,3.6,overcast clouds
125,Tandalti,SD,13.0167,31.8667,80.6,68,63,11.12,light rain
126,Haines Junction,CA,60.7522,-137.5108,62.55,55,100,6.91,overcast clouds
127,Olinda,BR,-8.0089,-34.8553,78.53,69,40,17.27,scattered clouds
128,Athabasca,CA,54.7169,-113.2854,81.01,33,0,5.91,clear sky
129,Meulaboh,ID,4.1363,96.1285,75.74,91,100,4.52,overcast clouds
130,Port Macquarie,AU,-31.4333,152.9167,35.89,72,0,6.31,clear sky
131,Hobart,AU,-42.8794,147.3294,46.26,87,100,5.75,overcast clouds
132,Alofi,NU,-19.0595,-169.9187,71.49,94,9,5.75,clear sky
133,Andijon,UZ,40.7821,72.3442,76.28,18,100,2.98,overcast clouds
134,Thompson,CA,55.7435,-97.8558,62.76,34,40,8.05,scattered clouds
135,Solnechnyy,RU,50.7214,136.6319,53.89,75,67,3.65,broken clouds
136,Basco,PH,20.4487,121.9702,84.09,74,22,6.17,few clouds
137,Toppenish,US,46.3774,-120.3087,93.02,21,0,8.72,clear sky
138,Topeka,US,39.0483,-95.678,91.58,45,0,3.44,clear sky
139,Kununurra,AU,-15.7667,128.7333,66.18,15,7,10.36,clear sky
140,Vagur,FO,61.4732,-6.8119,51.73,95,71,11.34,broken clouds
141,Deputatskiy,RU,69.3,139.9,37.56,86,100,2.91,overcast clouds
142,Hambantota,LK,6.1241,81.1185,78.33,82,81,19.3,broken clouds
143,Hay River,CA,60.8156,-115.7999,76.98,57,40,8.05,smoke
144,Curuca,BR,-0.7289,-47.8481,81.77,81,60,6.49,broken clouds
145,Dongsheng,CN,39.8161,109.9776,58.68,43,100,7.11,overcast clouds
146,Mathathane,BW,-22.2687,28.7495,62.26,44,0,6.96,clear sky
147,Madang,PG,-5.2246,145.7966,73.99,93,38,3.22,scattered clouds
148,Okhotsk,RU,59.3833,143.3,54.75,78,100,12.75,overcast clouds
149,Rawson,AR,-43.3002,-65.1023,57.67,29,6,17.78,clear sky
150,Yellowknife,CA,62.456,-114.3525,66.72,55,75,6.91,smoke
151,Iqaluit,CA,63.7506,-68.5145,47.93,87,100,16.11,light rain
152,Husavik,IS,66.0449,-17.3389,48.61,97,100,6.2,overcast clouds
153,Avarua,CK,-21.2078,-159.775,75.25,69,40,6.91,scattered clouds
154,Fort Nelson,CA,58.8053,-122.7002,80.19,54,20,4.61,few clouds
155,Nemuro,JP,43.3236,145.575,63.82,80,32,11.88,scattered clouds
156,Camacha,PT,33.0833,-16.3333,69.22,78,20,11.5,few clouds
157,Udachnyy,RU,66.4167,112.4,43.45,86,63,4.83,broken clouds
158,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,13.8,light rain
159,Guerrero Negro,MX,27.9769,-114.0611,86.25,48,91,5.79,overcast clouds
